"region","sci_name","comm_name","comm_name_foreign","k","linf_cm","winf_g","m","tmax_yr","tmat_yr","lmat_cm","recruit_sd_cond","recruit_sd_marg","recruit_sd_auto","masps","h","r","g_yr","fmsy","fmsy_div_m","temp_c"
"Cuba","Holocentrus rufus","Longspine squirrelfish","Carajuelo",0.929929181420161,23.9125729045662,183.346229670973,3.13567890298449,2.62901615018509,0.983658993765168,13.7237905227034,0.183985883029732,0.523920210943758,0.449628645505347,4.4978778414863,0.885734056681542,2.21293489969154,1.27953953930285,24.9046086309396,7.98982699404416,27.0464374612018
"Cuba","Lachnolaimus maximus","Hogfish","Pez perro",0.187408660595332,47.9336419137531,1796.04481139838,0.391260593894416,14.3441353923461,3.81020880566857,22.2547046380806,0.0460786122638304,0.434507002090623,0.832684633659904,2.81019489526656,0.87410199367294,0.677240017067746,7.95923154909906,2.44014892657822,6.09551281052431,24.4641961527943
"Cuba","Lutjanus analis","Mutton snapper","Pargo criollo",0.159356139109767,92.3023258041448,10633.6428526167,0.241648307483138,17.869101524213,3.72872419116284,41.694649330937,0.0622981678228742,0.393608955873741,0.707043576648662,0.906218190799549,0.727348018803254,0.295407297360823,10.701067516838,0.591249884966644,2.44459674378657,26.1050689354591
"Cuba","Lutjanus apodus","Schoolmaster snapper","Caji",0.315560858554641,45.6298237304296,1150.28363675074,0.402458921532609,11.4255282428661,2.18890900889363,23.3569028561843,0.15843578078533,0.482028763458982,0.50813954740094,1.0650521586621,0.687118536000009,0.435558014399669,6.32206032014065,0.818916097425229,2.04327820674608,26.9778933070807
"Cuba","Lutjanus cyanopterus","Cubera snapper","Cubera",0.194971636679556,73.7716656875599,5214.94474598435,0.255122551292956,17.4771106892621,3.42732004356216,35.745848588687,0.0951671034161968,0.437910097113146,0.626062926658596,0.609515011567255,0.67633276832131,0.294675122632377,9.90388205328128,0.504629205240979,1.96070964124164,26.1209904163462
"Cuba","Lutjanus griseus","Grey snapper","Caballerote",0.188380059443655,63.1240061838448,2870.23242690051,0.222776016527546,20.3085904730744,3.84138928945193,31.7488564714939,0.0975001875141287,0.430704059537598,0.620047011336221,0.0643750180086663,0.609483199835599,0.211600654302961,10.7425257156623,0.323432569884919,1.43489586932769,25.7161479301909
"Cuba","Lutjanus jocu","Dog snapper","Jocú",0.154876896994486,92.1287131340069,10497.5760749382,0.205895231767778,21.3546506648533,4.24213949623628,43.3815892015835,0.0729307220154159,0.416764357547444,0.68691039733388,0.407572739023391,0.668169290943997,0.236732006005547,12.3759653886855,0.386050980402186,1.87393921114492,25.8766374916712
"Cuba","Lutjanus synagris","Lane snapper","Biajaiba",0.241448280332114,55.9872478751712,1703.73227649215,0.446998168928737,8.42102124479846,2.07921083199983,24.7030978243951,0.0548534781372035,0.336892099479338,0.656830724291175,1.83936273219743,0.786706416371746,0.545315910969149,6.0239572044334,1.4362331876837,3.21388191150732,26.3458314876642
"Cuba","Megalops atlanticus","Tarpon","Sábalo",0.0853064715506086,183.001250861776,81639.3434707681,0.105606976730247,48.0021598889134,12.3504468498972,88.1907452131607,0.0254000657223668,0.386097007199335,0.92787882894471,-0.774809325380182,0.596830981190224,0.112728570361265,25.4621233495962,0.12887911906239,1.21350381134859,25.258473402368
"Cuba","Mugil curema","White mullet","Liseta",0.337033145446721,45.3902422171563,770.399182842585,0.531655933475212,9.28576813330741,2.47604599146948,23.2841562567413,0.0799894122533654,0.37604587637311,0.581953612837525,1.19818771865228,0.670937831012212,0.458211575194867,5.36081579024263,1.00659823161991,1.88617863717213,23.9692147074811
"Cuba","Mugil liza","Grey mullet","Lisa",0.251567755919493,62.8974688415232,2163.69182081557,0.4321098138515,11.2503607903642,3.14794848570383,29.8047088596135,0.0424001211495054,0.333667276045395,0.711372098195451,1.14235563971907,0.684169295338997,0.39270467641774,6.67369729670133,0.880038179273866,2.00855281138248,25.9510004585081
"Cuba","Ocyurus chrysurus","Yellowtail snapper","Rubia",0.190131120871594,55.9409434169373,2527.06371342722,0.347598184118507,13.7450610020743,3.20923582426411,25.3637361437312,0.0532169185881535,0.405338274453363,0.763228802482781,2.08561244510976,0.820987692200669,0.515840570110346,7.99709034163496,1.4504751381432,4.14970345498107,26.6838323026952
"Cuba","Opisthonema oglinum","Atlantic thread herring","Machuelo",0.611170623169386,22.167841626526,107.778860216832,0.758711081538379,5.98436026099774,2.11146335565528,14.0795421171725,0.145740036169003,0.461033286262109,0.516338500052254,2.38749636290691,0.796799069525425,0.856145043220008,3.68975049719254,2.67076706345706,3.510919155794,25.0450551981348
"Cuba","Pseudupeneus maculatus","Spotted goatfish","Salmonete",0.500834764544979,28.4652907054338,313.464346507463,1.27380372885059,5.08673665427421,0.998546537515183,13.9256240408875,0.230007261876203,0.547772351558116,0.41956332117217,3.18405426341185,0.830790184167577,1.34084133390617,2.38888530265626,5.93989043657838,4.65040344823406,26.2691369924847
"Cuba","Scarus vetula","Queen parrotfish","Loro",0.57288393503872,34.7388844652281,538.415853969084,0.359116521482883,10.2989458889014,1.92094268574757,20.5088118726872,0.37153535051373,0.691036981420319,0.358433901922013,0.765003548719962,0.645765801474348,0.47447179237735,5.9216411040352,0.580522831743135,1.63076120098232,27.3730708969942
"Cuba","Scomberomorus cavalla","King mackerel","Sierra",0.177230830562933,133.139042916219,14608.8184599165,0.287383791456464,14.0506346232555,4.00449570210308,60.4490374391008,0.0308937430830517,0.269692998649888,0.693260323823848,-0.518368053530109,0.491753508479726,0.156483417246586,9.52926043513983,0.212815980008989,0.745074954743437,24.7079330373139
"Cuba","Selar crumenophthalmus","Bigeye scad","Chicharro",1.16432439574099,28.4161990846364,279.151965664156,2.27572296634461,3.20489289723965,0.633269449494503,16.1484069426191,0.684658916304013,0.847843911142177,0.151220226622687,2.63128483268099,0.75273966956899,1.37064372405955,1.33703585886246,6.62324222610909,2.87873016402589,27.5795838497852
"Cuba","Trachinotus goodei","Permit","Palometa",0.431065675945423,49.7580392527311,1461.66902452959,0.92890566834527,7.01125528862871,1.51097503267635,25.1291171859951,0.191352383899091,0.517514625771861,0.431813093231049,1.96351908948536,0.736691045969671,0.86660834170558,3.68833582165061,2.43489884739732,2.61612723376653,25.096240255424
